Release 8.1i - Fit I.31
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 8-10-2015  3:51AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  adtransfer.ngd
output file: adtransfer_pad.csv
Part type:   xa2c256
Speed grade: -7
Package:     vq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P26,,VCC,VCC,,,,,,,,,,
P27,KPR,,I/O/GCK2,,,1,,,,,,,
P28,KPR,,I/O/DGE,,,1,,,,,,,
P29,KPR,,I/O,,,1,,,,,,,
P30,KPR,,I/O,,,1,,,,,,,
P31,GND,,GND,,,,,,,,,,
P32,B<5>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P33,B<6>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P34,h1<1>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P35,h1<2>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P36,h1<3>,O,I/O,OUTPUT,LVCMOS18,1,,FAST,,,,
P37,date<5>,I,I/O,INPUT,LVCMOS18,1,,FAST,,,,
P38,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P39,KPR,,I/O,,,1,,,,,,,
P40,KPR,,I/O,,,1,,,,,,,
P41,KPR,,I/O,,,1,,,,,,,
P42,KPR,,I/O,,,1,,,,,,,
P43,KPR,,I/O,,,1,,,,,,,
P44,KPR,,I/O,,,1,,,,,,,
P45,TDI,,TDI,,,,,,,,,,
P46,KPR,,I/O,,,1,,,,,,,
P47,TMS,,TMS,,,,,,,,,,
P48,TCK,,TCK,,,,,,,,,,
P49,KPR,,I/O,,,1,,,,,,,
P50,KPR,,I/O,,,1,,,,,,,
P51,,VCCIO-1.8,VCCIO,,,1,,,,,,,
P52,KPR,,I/O,,,1,,,,,,,
P53,KPR,,I/O,,,1,,,,,,,
P54,KPR,,I/O,,,1,,,,,,,
P55,KPR,,I/O,,,1,,,,,,,
P56,KPR,,I/O,,,1,,,,,,,
P57,,VCC,VCC,,,,,,,,,,
P58,KPR,,I/O,,,1,,,,,,,
P59,KPR,,I/O,,,1,,,,,,,
P60,KPR,,I/O,,,1,,,,,,,
P61,KPR,,I/O,,,1,,,,,,,
P62,GND,,GND,,,,,,,,,,
P63,KPR,,I/O,,,1,,,,,,,
P64,KPR,,I/O,,,1,,,,,,,
P65,KPR,,I/O,,,2,,,,,,,
P66,KPR,,I/O,,,2,,,,,,,
P67,KPR,,I/O,,,2,,,,,,,
P68,KPR,,I/O,,,2,,,,,,,
P69,GND,,GND,,,,,,,,,,
P70,KPR,,I/O,,,2,,,,,,,
P71,KPR,,I/O,,,2,,,,,,,
P72,date<9>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P73,date<7>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P74,B<9>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P75,GND,,GND,,,,,,,,,,
P76,B<8>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P77,B<7>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P78,h2<3>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P79,h2<2>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P80,h2<1>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P81,B<4>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P82,h1<0>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P83,TDO,,TDO,,,,,,,,,,
P84,GND,,GND,,,,,,,,,,
P85,KPR,,I/O,,,2,,,,,,,
P86,KPR,,I/O,,,2,,,,,,,
P87,KPR,,I/O,,,2,,,,,,,
P88,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P89,KPR,,I/O,,,2,,,,,,,
P90,date<8>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P91,date<11>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P92,date<10>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P93,B<10>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P94,date<6>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P95,date<4>,I,I/O,INPUT,LVCMOS18,2,,FAST,,,,
P96,h3<3>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P97,h3<2>,O,I/O,OUTPUT,LVCMOS18,2,,FAST,,,,
P98,,VCCIO-1.8,VCCIO,,,2,,,,,,,
P99,h2<0>,O,I/O/GSR,OUTPUT,LVCMOS18,2,,FAST,,,,
P100,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


